,value
2012-01-04,100000000.0
2012-01-05,100000000.0
2012-01-06,100000000.0
2012-01-09,100000000.0
2012-01-10,100000000.0
2012-01-11,100000000.0
2012-01-12,100000000.0
2012-01-13,100000000.0
2012-01-16,100000000.0
2012-01-17,100000000.0
2012-01-18,100000000.0
2012-01-19,100000000.0
2012-01-20,100000000.0
2012-01-30,100000000.0
2012-01-31,100000000.0
2012-02-01,100000000.0
2012-02-02,98877347.465
2012-02-03,100810645.465
2012-02-06,101512133.46499999
2012-02-07,101036206.46499999
2012-02-08,99288956.46499999
2012-02-09,102427959.46499999
2012-02-10,102624110.46499999
2012-02-13,103555279.46499999
2012-02-14,103436592.46499999
2012-02-15,103063685.46499999
2012-02-16,104429040.46499999
2012-02-17,103778771.46499999
2012-02-20,103912805.46499999
2012-02-21,103965054.46499999
2012-02-22,105295106.46499999
2012-02-23,107524401.46499999
2012-02-24,108062900.46499999
2012-02-27,109789328.46499999
2012-02-28,110287880.46499999
2012-02-29,110483281.465
2012-03-01,108884155.465
2012-03-02,109054377.25800005
2012-03-05,111908403.25800005
2012-03-06,111518569.25800005
2012-03-07,110032297.25800005
2012-03-08,109330010.25800005
2012-03-09,111270421.25800006
2012-03-12,112343371.25800008
2012-03-13,111655170.25800008
2012-03-14,112761788.25800006
2012-03-15,108639930.25800006
2012-03-16,107300783.25800006
2012-03-19,109010544.25800005
2012-03-20,109852182.25800005
2012-03-21,107939212.25800005
2012-03-22,108339936.25800006
2012-03-23,108346390.25800006
2012-03-26,106650831.25800006
2012-03-27,106276228.25800006
2012-03-28,106048443.25800006
2012-03-29,102887427.25800006
2012-03-30,101922175.25800006
2012-04-05,102490767.25800005
2012-04-06,102228617.51900005
2012-04-09,102228617.51900005
2012-04-10,102228617.51900005
2012-04-11,102228617.51900005
2012-04-12,102228617.51900005
2012-04-13,102228617.51900005
2012-04-16,102228617.51900005
2012-04-17,102228617.51900005
2012-04-18,102228617.51900005
2012-04-19,102228617.51900005
2012-04-20,102228617.51900005
2012-04-23,102228617.51900005
2012-04-24,102228617.51900005
2012-04-25,102228617.51900005
2012-04-26,102228617.51900005
2012-04-27,102228617.51900005
2012-05-02,102228617.51900005
2012-05-03,102228617.51900005
2012-05-04,102228617.51900005
2012-05-07,102228617.51900005
2012-05-08,102228617.51900005
2012-05-09,102228617.51900005
2012-05-10,102228617.51900005
2012-05-11,102228617.51900005
2012-05-14,102228617.51900005
2012-05-15,102228617.51900005
2012-05-16,102228617.51900005
2012-05-17,102228617.51900005
2012-05-18,102228617.51900005
2012-05-21,102228617.51900005
2012-05-22,102228617.51900005
2012-05-23,102228617.51900005
