datetime,ret
2012-01-04,1.0
2012-01-05,1.0
2012-01-06,1.0
2012-01-09,1.0
2012-01-10,1.0
2012-01-11,1.0
2012-01-12,1.0
2012-01-13,1.0
2012-01-16,1.0
2012-01-17,1.0
2012-01-18,1.0
2012-01-19,1.0
2012-01-20,1.0
2012-01-30,1.0
2012-01-31,1.0
2012-02-01,1.0
2012-02-02,0.98684516436
2012-02-03,1.00813795436
2012-02-06,1.01769512436
2012-02-07,1.01944854436
2012-02-08,0.99972660436
2012-02-09,1.0290496843599999
2012-02-10,1.03224994436
2012-02-13,1.03483338436
2012-02-14,1.03829759436
2012-02-15,1.04069628436
2012-02-16,1.05352356436
2012-02-17,1.04988062436
2012-02-20,1.04678818436
2012-02-21,1.04665630436
2012-02-22,1.0574438543599998
2012-02-23,1.0766842743599996
2012-02-24,1.0813048643599996
2012-02-27,1.0977933743599997
2012-02-28,1.1021959143599998
2012-02-29,1.0975162743599998
2012-03-01,1.0844819243599997
2012-03-02,1.0825596091699998
2012-03-05,1.10476279917
2012-03-06,1.10334812917
2012-03-07,1.08872198917
2012-03-08,1.07990493917
2012-03-09,1.0953715991700002
2012-03-12,1.10711192917
2012-03-13,1.11024333917
2012-03-14,1.1208443591700001
2012-03-15,1.07921961917
2012-03-16,1.07056950917
2012-03-19,1.08848049917
2012-03-20,1.09614699917
2012-03-21,1.07153516917
2012-03-22,1.07555367917
2012-03-23,1.0699890891700001
2012-03-26,1.05330075917
2012-03-27,1.0525979791700002
2012-03-28,1.0518148991700003
2012-03-29,1.0126934591700003
2012-03-30,0.9970052191700003
2012-04-05,1.0004116891700001
2012-04-06,1.0266801277400002
2012-04-09,1.0293000977400002
2012-04-10,1.0182932577400003
2012-04-11,1.0279530277400002
2012-04-12,1.02785695774
2012-04-13,1.0480914377400001
2012-04-16,1.05183613774
2012-04-17,1.05214997774
2012-04-18,1.04316519774
2012-04-19,1.06505082774
2012-04-20,1.0637103877399998
2012-04-23,1.0748450777399998
2012-04-24,1.0623495877399998
2012-04-25,1.0560747777399997
2012-04-26,1.0688474477399996
2012-04-27,1.0748987077399996
2012-05-02,1.0703190577399997
2012-05-03,1.0883710545299998
2012-05-04,1.09419972453
2012-05-07,1.1048132045299999
2012-05-08,1.11065843453
2012-05-09,1.1118438845299998
2012-05-10,1.0899301445299998
2012-05-11,1.0899628545299997
2012-05-14,1.0818462745299997
2012-05-15,1.0787652245299997
2012-05-16,1.0787908845299996
2012-05-17,1.0636419945299997
2012-05-18,1.0768882545299998
2012-05-21,1.05816066453
2012-05-22,1.06212208453
2012-05-23,1.0773382545299999
2012-05-24,1.0757566245299999
2012-05-25,1.0657699245299999
2012-05-28,1.05519161453
2012-05-29,1.0731928745300001
2012-05-30,1.08688120453
2012-05-31,1.08513891453
2012-06-01,1.08362330453
2012-06-04,1.07935451706
2012-06-05,1.0456437070600002
2012-06-06,1.0446352270600001
2012-06-07,1.0415737470600002
2012-06-08,1.0331466570600003
2012-06-11,1.0288845270600002
2012-06-12,1.0462552770600002
2012-06-13,1.0354278270600001
2012-06-14,1.0520820370600001
2012-06-15,1.04342177706
2012-06-18,1.04222796706
2012-06-19,1.0482489270600002
2012-06-20,1.0386266970600002
2012-06-21,1.0345250570600002
2012-06-25,1.0156046570600001
2012-06-26,0.9915057370600001
2012-06-27,0.9922833170600001
2012-06-28,0.9889390170600001
2012-06-29,0.9780393670600002
2012-07-02,0.9914031270600001
2012-07-03,0.99370025227
2012-07-04,0.9950413522699999
2012-07-05,0.9948467822699999
2012-07-06,0.9816866122699999
2012-07-09,0.9974455622699998
2012-07-10,0.9742315622699999
2012-07-11,0.9694030022699999
2012-07-12,0.97877651227
2012-07-13,0.98785058227
2012-07-16,0.98640057227
2012-07-17,0.96252503227
2012-07-18,0.97110664227
2012-07-19,0.97692149227
2012-07-20,0.98141201227
2012-07-23,0.97303989227
2012-07-24,0.96177945227
2012-07-25,0.9647431722699998
2012-07-26,0.9583118622699999
2012-07-27,0.9529130022699999
2012-07-30,0.9523372822699999
2012-07-31,0.9445246722699999
2012-08-01,0.9353114922699999
2012-08-02,0.9483304696199994
2012-08-03,0.9380049796199994
2012-08-06,0.9492992196199995
2012-08-07,0.9673793696199995
2012-08-08,0.9714907396199994
2012-08-09,0.9701753496199995
2012-08-10,0.9776587796199996
2012-08-13,0.9791357396199996
2012-08-14,0.9572139796199997
2012-08-15,0.9611013696199996
2012-08-16,0.9492690296199996
2012-08-17,0.9432692496199996
2012-08-20,0.9444042196199997
2012-08-21,0.9424258996199997
2012-08-22,0.9526009896199996
2012-08-23,0.9425210996199996
2012-08-24,0.9461918296199996
2012-08-27,0.9313228496199997
2012-08-28,0.9089053296199997
2012-08-29,0.9096619196199996
2012-08-30,0.8992940696199997
2012-08-31,0.8936534696199997
2012-09-03,0.8917035596199997
2012-09-04,0.9015841498499996
2012-09-05,0.8923585298499996
2012-09-06,0.8941070098499997
2012-09-07,0.9002357798499997
2012-09-10,0.9386917098499996
2012-09-11,0.9454964398499995
2012-09-12,0.9436874798499996
2012-09-13,0.9499403898499996
2012-09-14,0.9381614998499996
2012-09-17,0.9444083098499997
2012-09-18,0.9190150798499997
2012-09-19,0.9119329298499997
2012-09-20,0.9166096298499998
2012-09-21,0.8912312998499999
2012-09-24,0.8887832198499999
2012-09-25,0.89483621985
2012-09-26,0.8913023798499999
2012-09-27,0.87659744985
2012-09-28,0.90179217985
2012-10-08,0.9205077598500001
2012-10-09,0.9120136837700004
2012-10-10,0.9331908537700003
2012-10-11,0.9345986837700002
