,value
2012-01-04,100000000.0
2012-01-05,100000000.0
2012-01-06,100000000.0
2012-01-09,100000000.0
2012-01-10,100000000.0
2012-01-11,100000000.0
2012-01-12,100000000.0
2012-01-13,100000000.0
2012-01-16,100000000.0
2012-01-17,100000000.0
2012-01-18,100000000.0
2012-01-19,100000000.0
2012-01-20,100000000.0
2012-01-30,100000000.0
2012-01-31,100000000.0
2012-02-01,100000000.0
2012-02-02,98886215.67500001
2012-02-03,100682173.675
2012-02-06,102002517.675
2012-02-07,102334122.675
2012-02-08,100492662.675
2012-02-09,103108315.675
2012-02-10,103266238.675
2012-02-13,103696039.675
2012-02-14,104466792.675
2012-02-15,104388936.675
2012-02-16,105647515.675
2012-02-17,105370330.675
2012-02-20,105136079.675
2012-02-21,105091844.675
2012-02-22,105923113.675
2012-02-23,107814013.675
2012-02-24,108140841.675
2012-02-27,109608656.675
2012-02-28,110219183.675
2012-02-29,110002447.675
2012-03-01,108588005.675
2012-03-02,108531993.848
2012-03-05,110479464.84799999
2012-03-06,110223797.84799999
2012-03-07,108665828.84799999
2012-03-08,108106563.84799999
2012-03-09,109239791.84799999
2012-03-12,110467369.848
2012-03-13,110854819.848
2012-03-14,111931307.848
2012-03-15,108188796.848
2012-03-16,107203144.848
2012-03-19,109055344.848
2012-03-20,109881285.84799999
2012-03-21,107400166.84799999
2012-03-22,107826057.84799999
2012-03-23,107050388.84799999
2012-03-26,105448638.84799999
2012-03-27,105330410.84799999
2012-03-28,105477199.848
2012-03-29,101242770.848
2012-03-30,99491514.848
2012-04-05,99336110.848
2012-04-06,99132445.929
2012-04-09,99132445.929
2012-04-10,99132445.929
2012-04-11,99132445.929
2012-04-12,99132445.929
2012-04-13,99132445.929
2012-04-16,99132445.929
2012-04-17,99132445.929
2012-04-18,99132445.929
2012-04-19,99132445.929
2012-04-20,99132445.929
2012-04-23,99132445.929
2012-04-24,99132445.929
2012-04-25,99132445.929
2012-04-26,99132445.929
2012-04-27,99132445.929
2012-05-02,99132445.929
2012-05-03,99132445.929
2012-05-04,99132445.929
2012-05-07,99132445.929
2012-05-08,99132445.929
2012-05-09,99132445.929
2012-05-10,99132445.929
2012-05-11,99132445.929
2012-05-14,99132445.929
2012-05-15,99132445.929
2012-05-16,99132445.929
2012-05-17,99132445.929
2012-05-18,99132445.929
2012-05-21,99132445.929
2012-05-22,99132445.929
2012-05-23,99132445.929
2012-05-24,99132445.929
2012-05-25,99132445.929
2012-05-28,99132445.929
2012-05-29,99132445.929
2012-05-30,99132445.929
2012-05-31,99132445.929
2012-06-01,99132445.929
2012-06-04,98779780.331
2012-06-05,95952249.331
