,value
2012-01-04,100000000.0
2012-01-05,100000000.0
2012-01-06,100000000.0
2012-01-09,100000000.0
2012-01-10,100000000.0
2012-01-11,100000000.0
2012-01-12,100000000.0
2012-01-13,100000000.0
2012-01-16,100000000.0
2012-01-17,100000000.0
2012-01-18,100000000.0
2012-01-19,100000000.0
2012-01-20,100000000.0
2012-01-30,100000000.0
2012-01-31,100000000.0
2012-02-01,100000000.0
2012-02-02,98988368.39299998
2012-02-03,100771781.39299996
2012-02-06,101724679.39299996
2012-02-07,101751945.39299996
2012-02-08,100034273.39299996
2012-02-09,102948808.39299996
2012-02-10,103018765.39299996
2012-02-13,103589393.39299996
2012-02-14,104196069.39299996
2012-02-15,103934170.39299996
2012-02-16,105251097.39299996
2012-02-17,104810416.39299996
2012-02-20,104662138.39299996
2012-02-21,104746696.39299996
2012-02-22,105811833.39299996
2012-02-23,107555358.39299998
2012-02-24,107903508.39299998
2012-02-27,109546706.39299998
2012-02-28,110221830.39299998
2012-02-29,110370287.39299998
2012-03-01,109313087.39299998
2012-03-02,109266870.17099994
2012-03-05,111451592.17099994
2012-03-06,111223558.17099994
2012-03-07,109390767.17099994
2012-03-08,108471608.17099994
2012-03-09,110320105.17099993
2012-03-12,111684992.17099993
2012-03-13,111686898.17099991
2012-03-14,112558493.17099993
2012-03-15,108480398.17099993
2012-03-16,107134296.17099993
2012-03-19,109254911.17099993
2012-03-20,110146661.17099993
2012-03-21,108259753.17099993
2012-03-22,108922614.17099993
2012-03-23,108221837.17099993
2012-03-26,106336538.17099993
2012-03-27,106102935.17099993
2012-03-28,106096996.17099993
2012-03-29,102306184.17099993
2012-03-30,100345295.17099993
2012-04-05,100519710.17099993
2012-04-06,100326800.81199995
2012-04-09,100326800.81199995
2012-04-10,100326800.81199995
2012-04-11,100326800.81199995
2012-04-12,100326800.81199995
2012-04-13,100326800.81199995
2012-04-16,100326800.81199995
2012-04-17,100326800.81199995
2012-04-18,100326800.81199995
2012-04-19,100326800.81199995
2012-04-20,100326800.81199995
2012-04-23,100326800.81199995
2012-04-24,100326800.81199995
2012-04-25,100326800.81199995
2012-04-26,100326800.81199995
2012-04-27,100326800.81199995
2012-05-02,100326800.81199995
2012-05-03,100326800.81199995
2012-05-04,100326800.81199995
2012-05-07,100326800.81199995
2012-05-08,100326800.81199995
2012-05-09,100326800.81199995
2012-05-10,100326800.81199995
2012-05-11,100326800.81199995
2012-05-14,100326800.81199995
2012-05-15,100326800.81199995
2012-05-16,100326800.81199995
2012-05-17,100326800.81199995
2012-05-18,100326800.81199995
2012-05-21,100326800.81199995
2012-05-22,100326800.81199995
2012-05-23,100326800.81199995
