,value
2012-01-04,100000000.0
2012-01-05,100000000.0
2012-01-06,100000000.0
2012-01-09,100000000.0
2012-01-10,100000000.0
2012-01-11,100000000.0
2012-01-12,100000000.0
2012-01-13,100000000.0
2012-01-16,100000000.0
2012-01-17,100000000.0
2012-01-18,100000000.0
2012-01-19,100000000.0
2012-01-20,100000000.0
2012-01-30,100000000.0
2012-01-31,100000000.0
2012-02-01,100000000.0
2012-02-02,98880518.88700002
2012-02-03,101109936.88700002
2012-02-06,102096911.88700001
2012-02-07,102191939.88700001
2012-02-08,100353148.88700001
2012-02-09,103072647.88700001
2012-02-10,103311351.88700001
2012-02-13,103528810.88700002
2012-02-14,103900756.88700002
2012-02-15,103376704.88700002
2012-02-16,104735230.88700002
2012-02-17,104058909.88700002
2012-02-20,103923341.88700002
2012-02-21,104032531.88700002
2012-02-22,105110832.88700001
2012-02-23,106450645.887
2012-02-24,106788036.887
2012-02-27,108276171.88699998
2012-02-28,108788479.88699998
2012-02-29,108368816.88699998
2012-03-01,106803511.88699998
2012-03-02,106977657.06599997
2012-03-05,108751356.06599995
2012-03-06,108612222.06599995
2012-03-07,107336887.06599995
2012-03-08,106380537.06599995
2012-03-09,107964084.06599995
2012-03-12,109607399.06599997
2012-03-13,110049328.06599997
2012-03-14,111319474.06599997
2012-03-15,107385697.06599997
2012-03-16,106332696.06599997
2012-03-19,108673399.06599995
2012-03-20,109899651.06599994
2012-03-21,107294391.06599994
2012-03-22,108078545.06599994
2012-03-23,107175989.06599994
2012-03-26,104848349.06599994
2012-03-27,104751454.06599994
2012-03-28,104425134.06599994
2012-03-29,100630539.06599994
2012-03-30,98736205.06599994
2012-04-05,98055104.06599994
2012-04-06,98021753.80699994
2012-04-09,98021753.80699994
2012-04-10,98021753.80699994
2012-04-11,98021753.80699994
2012-04-12,98021753.80699994
2012-04-13,98021753.80699994
2012-04-16,98021753.80699994
2012-04-17,98021753.80699994
2012-04-18,98021753.80699994
2012-04-19,98021753.80699994
2012-04-20,98021753.80699994
2012-04-23,98021753.80699994
2012-04-24,98021753.80699994
2012-04-25,98021753.80699994
2012-04-26,98021753.80699994
2012-04-27,98021753.80699994
2012-05-02,98021753.80699994
2012-05-03,98021753.80699994
2012-05-04,98021753.80699994
2012-05-07,98021753.80699994
2012-05-08,98021753.80699994
2012-05-09,98021753.80699994
2012-05-10,98021753.80699994
2012-05-11,98021753.80699994
2012-05-14,98021753.80699994
2012-05-15,98021753.80699994
2012-05-16,98021753.80699994
2012-05-17,98021753.80699994
2012-05-18,98021753.80699994
2012-05-21,98021753.80699994
2012-05-22,98021753.80699994
2012-05-23,98021753.80699994
