,value
2012-01-04,100000000.0
2012-01-05,100000000.0
2012-01-06,100000000.0
2012-01-09,100000000.0
2012-01-10,100000000.0
2012-01-11,100000000.0
2012-01-12,100000000.0
2012-01-13,100000000.0
2012-01-16,100000000.0
2012-01-17,100000000.0
2012-01-18,100000000.0
2012-01-19,100000000.0
2012-01-20,100000000.0
2012-01-30,100000000.0
2012-01-31,100000000.0
2012-02-01,100000000.0
2012-02-02,98591606.53999999
2012-02-03,100426097.53999998
2012-02-06,101466080.53999998
2012-02-07,101755680.53999998
2012-02-08,99819627.53999998
2012-02-09,103010933.53999998
2012-02-10,103123038.53999998
2012-02-13,103410309.53999996
2012-02-14,103720591.53999996
2012-02-15,103570182.53999996
2012-02-16,105018315.53999996
2012-02-17,104594058.53999996
2012-02-20,104419512.53999996
2012-02-21,104461758.53999996
2012-02-22,105472323.53999996
2012-02-23,107346483.53999995
2012-02-24,108032342.53999995
2012-02-27,109623221.53999995
2012-02-28,110255700.53999995
2012-02-29,110472970.53999993
2012-03-01,109272515.53999993
2012-03-02,109275653.40199992
2012-03-05,111097837.4019999
2012-03-06,110705058.4019999
2012-03-07,108748489.4019999
2012-03-08,108158343.4019999
2012-03-09,109583352.4019999
2012-03-12,110824122.4019999
2012-03-13,111022314.4019999
2012-03-14,111968761.40199989
2012-03-15,108357778.40199989
2012-03-16,107110684.40199989
2012-03-19,108770257.40199988
2012-03-20,109562065.40199988
2012-03-21,107441584.40199988
2012-03-22,107829862.40199988
2012-03-23,107147422.40199988
2012-03-26,105658217.40199988
2012-03-27,105424211.40199988
2012-03-28,105863984.40199986
2012-03-29,102137422.40199986
2012-03-30,100355936.40199986
2012-04-05,100583640.40199985
2012-04-06,100405915.54799986
2012-04-09,100405915.54799986
2012-04-10,100405915.54799986
2012-04-11,100405915.54799986
2012-04-12,100405915.54799986
2012-04-13,100405915.54799986
2012-04-16,100405915.54799986
2012-04-17,100405915.54799986
2012-04-18,100405915.54799986
2012-04-19,100405915.54799986
2012-04-20,100405915.54799986
2012-04-23,100405915.54799986
2012-04-24,100405915.54799986
2012-04-25,100405915.54799986
2012-04-26,100405915.54799986
2012-04-27,100405915.54799986
2012-05-02,100405915.54799986
2012-05-03,100405915.54799986
2012-05-04,100405915.54799986
2012-05-07,100405915.54799986
2012-05-08,100405915.54799986
2012-05-09,100405915.54799986
2012-05-10,100405915.54799986
2012-05-11,100405915.54799986
2012-05-14,100405915.54799986
2012-05-15,100405915.54799986
2012-05-16,100405915.54799986
2012-05-17,100405915.54799986
2012-05-18,100405915.54799986
2012-05-21,100405915.54799986
2012-05-22,100405915.54799986
2012-05-23,100405915.54799986
2012-05-24,100405915.54799986
2012-05-25,100405915.54799986
2012-05-28,100405915.54799986
2012-05-29,100405915.54799986
2012-05-30,100405915.54799986
2012-05-31,100405915.54799986
2012-06-01,100405915.54799986
2012-06-04,100171984.79599988
2012-06-05,97626484.79599988
2012-06-06,97520759.79599988
2012-06-07,97752064.79599988
2012-06-08,97155465.79599988
2012-06-11,96549669.79599988
2012-06-12,98146121.79599988
2012-06-13,97823553.79599988
2012-06-14,99328053.79599988
2012-06-15,98551785.79599988
2012-06-18,98726075.79599987
2012-06-19,99151529.79599987
2012-06-20,98149345.79599987
2012-06-21,98023361.79599987
2012-06-25,96599691.79599987
2012-06-26,93975414.79599987
2012-06-27,93756849.79599987
2012-06-28,93308316.79599987
2012-06-29,92278697.79599987
2012-07-02,93596907.79599987
2012-07-03,93987141.36099984
2012-07-04,93987141.36099984
2012-07-05,93987141.36099984
2012-07-06,93987141.36099984
2012-07-09,93987141.36099984
2012-07-10,93987141.36099984
2012-07-11,93987141.36099984
2012-07-12,93987141.36099984
2012-07-13,93987141.36099984
2012-07-16,93987141.36099984
2012-07-17,93987141.36099984
2012-07-18,93987141.36099984
2012-07-19,93987141.36099984
2012-07-20,93987141.36099984
2012-07-23,93987141.36099984
2012-07-24,93987141.36099984
2012-07-25,93987141.36099984
2012-07-26,93987141.36099984
2012-07-27,93987141.36099984
2012-07-30,93987141.36099984
2012-07-31,93987141.36099984
2012-08-01,93987141.36099984
2012-08-02,95019753.93199982
2012-08-03,94517601.93199982
2012-08-06,95337003.93199982
2012-08-07,97124172.93199982
2012-08-08,97721959.93199982
2012-08-09,97373120.93199982
2012-08-10,98430161.93199982
2012-08-13,98482034.9319998
2012-08-14,96848777.9319998
2012-08-15,97373411.93199979
2012-08-16,96467222.93199979
2012-08-17,96002621.93199979
2012-08-20,95825037.93199979
2012-08-21,95279125.93199979
2012-08-22,96040437.9319998
2012-08-23,95205142.9319998
2012-08-24,95715957.9319998
2012-08-27,94487454.9319998
2012-08-28,92755646.9319998
2012-08-29,93185244.9319998
2012-08-30,92563714.9319998
2012-08-31,91689954.9319998
2012-09-03,91428752.9319998
2012-09-04,92215092.6359998
2012-09-05,91004077.6359998
2012-09-06,90873196.6359998
2012-09-07,91846496.6359998
2012-09-10,95876204.6359998
2012-09-11,96660347.6359998
2012-09-12,96253640.6359998
2012-09-13,97012865.63599981
2012-09-14,96097452.63599981
2012-09-17,97092322.63599981
2012-09-18,94698592.63599981
2012-09-19,93556080.63599981
2012-09-20,94444706.63599981
2012-09-21,91925247.63599981
2012-09-24,92446469.63599981
2012-09-25,92954072.63599983
2012-09-26,92399718.63599983
2012-09-27,91034931.63599983
2012-09-28,93379605.63599983
2012-10-08,95193562.63599981
2012-10-09,95067022.1739998
2012-10-10,95067022.1739998
2012-10-11,95067022.1739998
2012-10-12,95067022.1739998
2012-10-15,95067022.1739998
