,value
2012-01-04,100000000.0
2012-01-05,100000000.0
2012-01-06,100000000.0
2012-01-09,100000000.0
2012-01-10,100000000.0
2012-01-11,100000000.0
2012-01-12,100000000.0
2012-01-13,100000000.0
2012-01-16,100000000.0
2012-01-17,100000000.0
2012-01-18,100000000.0
2012-01-19,100000000.0
2012-01-20,100000000.0
2012-01-30,100000000.0
2012-01-31,100000000.0
2012-02-01,100000000.0
2012-02-02,98862957.365
2012-02-03,100920381.365
2012-02-06,101695970.365
2012-02-07,101997498.365
2012-02-08,100211563.365
2012-02-09,103235644.365
2012-02-10,103483884.36499998
2012-02-13,103950533.365
2012-02-14,104700039.365
2012-02-15,104455196.365
2012-02-16,105892632.36499998
2012-02-17,105167652.36499998
2012-02-20,104996018.36499998
2012-02-21,104970217.36499998
2012-02-22,106119649.36499998
2012-02-23,107834310.36499998
2012-02-24,108319066.36499996
2012-02-27,110088839.36499996
2012-02-28,110355382.36499996
2012-02-29,110265041.36499996
2012-03-01,109213490.36499996
2012-03-02,109257449.36199996
2012-03-05,111231499.36199997
2012-03-06,111092412.36199997
2012-03-07,109190266.36199997
2012-03-08,108442620.36199997
2012-03-09,110472055.36199997
2012-03-12,111850499.36199997
2012-03-13,112175352.36199996
2012-03-14,112955252.36199996
2012-03-15,108738780.36199996
2012-03-16,107615676.36199996
2012-03-19,109803071.36199994
2012-03-20,110981930.36199993
2012-03-21,109047506.36199993
2012-03-22,109779516.36199991
2012-03-23,109085990.36199991
2012-03-26,107163883.36199991
2012-03-27,106965072.36199991
2012-03-28,106823006.36199991
2012-03-29,102920166.36199991
2012-03-30,100890941.36199991
2012-04-05,100887358.36199991
2012-04-06,100729766.60699992
2012-04-09,100729766.60699992
2012-04-10,100729766.60699992
2012-04-11,100729766.60699992
2012-04-12,100729766.60699992
2012-04-13,100729766.60699992
2012-04-16,100729766.60699992
2012-04-17,100729766.60699992
2012-04-18,100729766.60699992
2012-04-19,100729766.60699992
2012-04-20,100729766.60699992
2012-04-23,100729766.60699992
2012-04-24,100729766.60699992
2012-04-25,100729766.60699992
2012-04-26,100729766.60699992
2012-04-27,100729766.60699992
2012-05-02,100729766.60699992
2012-05-03,100729766.60699992
2012-05-04,100729766.60699992
2012-05-07,100729766.60699992
2012-05-08,100729766.60699992
2012-05-09,100729766.60699992
2012-05-10,100729766.60699992
2012-05-11,100729766.60699992
2012-05-14,100729766.60699992
2012-05-15,100729766.60699992
2012-05-16,100729766.60699992
2012-05-17,100729766.60699992
2012-05-18,100729766.60699992
2012-05-21,100729766.60699992
2012-05-22,100729766.60699992
2012-05-23,100729766.60699992
2012-05-24,100729766.60699992
