,value
2012-01-04,100000000.0
2012-01-05,100000000.0
2012-01-06,100000000.0
2012-01-09,100000000.0
2012-01-10,100000000.0
2012-01-11,100000000.0
2012-01-12,100000000.0
2012-01-13,100000000.0
2012-01-16,100000000.0
2012-01-17,100000000.0
2012-01-18,100000000.0
2012-01-19,100000000.0
2012-01-20,100000000.0
2012-01-30,100000000.0
2012-01-31,100000000.0
2012-02-01,100000000.0
2012-02-02,99076147.09099998
2012-02-03,101038432.09099998
2012-02-06,102148048.09099998
2012-02-07,102641346.09099999
2012-02-08,100984746.09099999
2012-02-09,103452399.09099999
2012-02-10,103731181.09099999
2012-02-13,103776124.09099999
2012-02-14,104696205.091
2012-02-15,104787144.091
2012-02-16,106209171.09100002
2012-02-17,105464833.09100002
2012-02-20,105299962.09100002
2012-02-21,105262310.09100002
2012-02-22,106241221.09100002
2012-02-23,107731278.09100002
2012-02-24,108103707.09100002
2012-02-27,110064911.09100002
2012-02-28,110296799.09100002
2012-02-29,110326632.09100002
2012-03-01,109624070.09100002
2012-03-02,109253956.60300007
2012-03-05,110895410.60300009
2012-03-06,110152885.60300009
2012-03-07,108961347.60300009
2012-03-08,108681563.60300009
2012-03-09,109486671.60300007
2012-03-12,111086588.60300007
2012-03-13,110909705.60300007
2012-03-14,111804109.60300006
2012-03-15,108999642.60300006
2012-03-16,109066601.60300004
2012-03-19,111129629.60300006
2012-03-20,110666465.60300006
2012-03-21,108556380.60300006
2012-03-22,108064944.60300006
2012-03-23,108337393.60300006
2012-03-26,107408472.60300006
2012-03-27,108198612.60300006
2012-03-28,106679332.60300006
2012-03-29,103989778.60300006
2012-03-30,102888598.60300006
2012-04-05,102908053.60300004
2012-04-06,102668122.92400007
2012-04-09,102668122.92400007
2012-04-10,102668122.92400007
2012-04-11,102668122.92400007
2012-04-12,102668122.92400007
2012-04-13,102668122.92400007
2012-04-16,102668122.92400007
2012-04-17,102668122.92400007
2012-04-18,102668122.92400007
2012-04-19,102668122.92400007
2012-04-20,102668122.92400007
2012-04-23,102668122.92400007
2012-04-24,102668122.92400007
2012-04-25,102668122.92400007
2012-04-26,102668122.92400007
2012-04-27,102668122.92400007
2012-05-02,102668122.92400007
2012-05-03,102668122.92400007
2012-05-04,102668122.92400007
2012-05-07,102668122.92400007
2012-05-08,102668122.92400007
2012-05-09,102668122.92400007
2012-05-10,102668122.92400007
2012-05-11,102668122.92400007
2012-05-14,102668122.92400007
2012-05-15,102668122.92400007
2012-05-16,102668122.92400007
2012-05-17,102668122.92400007
2012-05-18,102668122.92400007
2012-05-21,102668122.92400007
2012-05-22,102668122.92400007
2012-05-23,102668122.92400007
