,value
2012-01-04,100000000.0
2012-01-05,100000000.0
2012-01-06,100000000.0
2012-01-09,100000000.0
2012-01-10,100000000.0
2012-01-11,100000000.0
2012-01-12,100000000.0
2012-01-13,100000000.0
2012-01-16,100000000.0
2012-01-17,100000000.0
2012-01-18,100000000.0
2012-01-19,100000000.0
2012-01-20,100000000.0
2012-01-30,100000000.0
2012-01-31,100000000.0
2012-02-01,100000000.0
2012-02-02,98859643.00200005
2012-02-03,100851530.00200005
2012-02-06,102164568.00200005
2012-02-07,102605040.00200005
2012-02-08,100786804.00200005
2012-02-09,103477557.00200003
2012-02-10,103886465.00200005
2012-02-13,103790467.00200005
2012-02-14,104045281.00200005
2012-02-15,103852637.00200005
2012-02-16,104912054.00200005
2012-02-17,104372709.00200005
2012-02-20,104144440.00200005
2012-02-21,104271727.00200006
2012-02-22,105453297.00200005
2012-02-23,106906028.00200005
2012-02-24,107558386.00200005
2012-02-27,108921688.00200005
2012-02-28,109307804.00200005
2012-02-29,109343558.00200005
2012-03-01,108415515.00200005
2012-03-02,108294545.46900006
2012-03-05,109980014.46900006
2012-03-06,109449116.46900006
2012-03-07,108290352.46900006
2012-03-08,107653408.46900006
2012-03-09,108739466.46900006
2012-03-12,110227296.46900006
2012-03-13,110309816.46900006
2012-03-14,111190770.46900004
2012-03-15,107653550.46900004
2012-03-16,106766049.46900004
2012-03-19,108578376.46900003
2012-03-20,109060472.46900003
2012-03-21,106820313.46900003
2012-03-22,106986785.46900003
2012-03-23,106930034.46900003
2012-03-26,105198664.46900003
2012-03-27,104964707.46900003
2012-03-28,104663531.46900003
2012-03-29,101245369.46900003
2012-03-30,99625241.46900003
2012-04-05,99631226.46900001
2012-04-06,99483156.21300001
2012-04-09,99483156.21300001
2012-04-10,99483156.21300001
2012-04-11,99483156.21300001
2012-04-12,99483156.21300001
2012-04-13,99483156.21300001
2012-04-16,99483156.21300001
2012-04-17,99483156.21300001
2012-04-18,99483156.21300001
2012-04-19,99483156.21300001
2012-04-20,99483156.21300001
2012-04-23,99483156.21300001
2012-04-24,99483156.21300001
2012-04-25,99483156.21300001
2012-04-26,99483156.21300001
2012-04-27,99483156.21300001
2012-05-02,99483156.21300001
2012-05-03,99483156.21300001
2012-05-04,99483156.21300001
2012-05-07,99483156.21300001
2012-05-08,99483156.21300001
2012-05-09,99483156.21300001
2012-05-10,99483156.21300001
2012-05-11,99483156.21300001
2012-05-14,99483156.21300001
2012-05-15,99483156.21300001
2012-05-16,99483156.21300001
2012-05-17,99483156.21300001
2012-05-18,99483156.21300001
2012-05-21,99483156.21300001
2012-05-22,99483156.21300001
2012-05-23,99483156.21300001
