,value
2012-01-04,100000000.0
2012-01-05,100000000.0
2012-01-06,100000000.0
2012-01-09,100000000.0
2012-01-10,100000000.0
2012-01-11,100000000.0
2012-01-12,100000000.0
2012-01-13,100000000.0
2012-01-16,100000000.0
2012-01-17,100000000.0
2012-01-18,100000000.0
2012-01-19,100000000.0
2012-01-20,100000000.0
2012-01-30,100000000.0
2012-01-31,100000000.0
2012-02-01,100000000.0
2012-02-02,98673591.82499999
2012-02-03,100459140.82499997
2012-02-06,101305227.82499997
2012-02-07,100959505.82499997
2012-02-08,99009414.82499997
2012-02-09,102159554.82499997
2012-02-10,102624755.82499997
2012-02-13,103329275.82499997
2012-02-14,102999025.82499997
2012-02-15,102862131.82499997
2012-02-16,104089901.82499996
2012-02-17,103877512.82499996
2012-02-20,103627277.82499996
2012-02-21,104040258.82499996
2012-02-22,105448619.82499996
2012-02-23,107663400.82499994
2012-02-24,107820905.82499994
2012-02-27,109721201.82499993
2012-02-28,110216960.82499993
2012-02-29,110592326.82499993
2012-03-01,109264503.82499993
2012-03-02,109295314.68899994
2012-03-05,111905842.68899994
2012-03-06,111304594.68899994
2012-03-07,109750166.68899994
2012-03-08,108876904.68899994
2012-03-09,110384621.68899994
2012-03-12,111106464.68899994
2012-03-13,110433451.68899994
2012-03-14,111314598.68899994
2012-03-15,107232899.68899994
2012-03-16,105258346.68899994
2012-03-19,106890660.68899994
2012-03-20,107900824.68899995
2012-03-21,106785125.68899995
2012-03-22,107645292.68899997
2012-03-23,107482108.68899997
2012-03-26,105957329.68899997
2012-03-27,105623212.68899997
2012-03-28,105604528.68899997
2012-03-29,102232793.68899997
2012-03-30,101287656.68899997
2012-04-05,101784529.68899997
2012-04-06,101452645.58799993
2012-04-09,101452645.58799993
2012-04-10,101452645.58799993
2012-04-11,101452645.58799993
2012-04-12,101452645.58799993
2012-04-13,101452645.58799993
2012-04-16,101452645.58799993
2012-04-17,101452645.58799993
2012-04-18,101452645.58799993
2012-04-19,101452645.58799993
2012-04-20,101452645.58799993
2012-04-23,101452645.58799993
2012-04-24,101452645.58799993
2012-04-25,101452645.58799993
2012-04-26,101452645.58799993
2012-04-27,101452645.58799993
2012-05-02,101452645.58799993
2012-05-03,101452645.58799993
2012-05-04,101452645.58799993
2012-05-07,101452645.58799993
2012-05-08,101452645.58799993
2012-05-09,101452645.58799993
2012-05-10,101452645.58799993
2012-05-11,101452645.58799993
2012-05-14,101452645.58799993
2012-05-15,101452645.58799993
2012-05-16,101452645.58799993
2012-05-17,101452645.58799993
2012-05-18,101452645.58799993
2012-05-21,101452645.58799993
2012-05-22,101452645.58799993
2012-05-23,101452645.58799993
