,value
2012-10-30,95562411.42600001
2012-10-31,95562411.42600001
2012-11-01,95562411.42600001
2012-11-02,97258083.65500003
2012-11-05,97365182.65500003
2012-11-06,97129085.65500003
2012-11-07,96725152.65500003
2012-11-08,96762571.65500003
2012-11-09,94906392.65500003
2012-11-12,94483793.65500003
2012-11-13,94823911.65500003
2012-11-14,93369447.65500003
2012-11-15,93822276.65500003
2012-11-16,92625957.65500003
2012-11-19,91940582.65500003
2012-11-20,92042373.65500002
2012-11-21,91673077.65500002
2012-11-22,92566596.65500002
2012-11-23,91755211.65500002
2012-11-26,92088392.655
2012-11-27,91118434.655
2012-11-28,89811278.655
2012-11-29,89104896.655
2012-11-30,88495068.655
2012-12-03,89474323.65499999
2012-12-04,87566856.26299995
2012-12-05,88568878.26299995
2012-12-06,91555728.26299995
2012-12-07,91483629.26299995
2012-12-10,93407393.26299994
2012-12-11,94817401.26299994
2012-12-12,94180725.26299994
2012-12-13,94374222.26299994
2012-12-14,93343822.26299994
2012-12-17,97603200.26299994
2012-12-18,98057857.26299994
2012-12-19,97989221.26299994
2012-12-20,98339329.26299994
2012-12-21,98635429.26299994
2012-12-24,98128405.26299994
2012-12-25,98306416.26299994
2012-12-26,100881645.26299994
2012-12-27,101493885.26299994
2012-12-28,101096439.26299994
2012-12-31,102240163.26299992
2013-01-04,103715622.2629999
2013-01-07,102634512.15599994
2013-01-08,103052897.15599994
2013-01-09,103227771.15599994
2013-01-10,103477223.15599993
2013-01-11,103779681.15599993
2013-01-14,101778035.15599993
2013-01-15,105246135.15599993
2013-01-16,106374661.15599993
2013-01-17,105622908.15599993
2013-01-18,104555389.15599993
2013-01-21,105984468.15599993
2013-01-22,106490205.15599991
2013-01-23,105563078.15599991
2013-01-24,106077890.15599991
2013-01-25,104461651.15599991
2013-01-28,104307064.15599991
2013-01-29,106554499.15599991
2013-01-30,107463108.15599991
2013-01-31,107999952.15599993
2013-02-01,108066012.15599991
2013-02-04,109013441.43299992
2013-02-05,109138238.43299991
2013-02-06,110758618.4329999
2013-02-07,110671034.4329999
2013-02-08,111040938.4329999
2013-02-18,112764384.4329999
2013-02-19,111952924.4329999
2013-02-20,109679303.4329999
2013-02-21,111158532.4329999
2013-02-22,108120588.43299991
2013-02-25,107476845.43299991
2013-02-26,108009543.43299991
2013-02-27,106330668.43299991
2013-02-28,106721182.43299991
2013-03-01,109308979.43299991
2013-03-04,109410496.99099988
2013-03-05,105484716.99099989
2013-03-06,108367214.99099988
2013-03-07,109543361.99099988
2013-03-08,108489375.99099988
2013-03-11,107535293.99099988
2013-03-12,107595344.99099988
2013-03-13,105968961.99099988
2013-03-14,104886319.99099988
2013-03-15,105519128.99099988
2013-03-18,105663349.99099988
2013-03-19,104114966.99099988
2013-03-20,104903971.99099988
2013-03-21,107896031.99099988
2013-03-22,108620738.99099988
2013-03-25,108517148.99099988
2013-03-26,108382384.99099988
2013-03-27,107208409.99099988
2013-03-28,107113257.99099988
2013-03-29,104666025.99099989
2013-04-01,104438060.99099989
2013-04-02,104357904.68599992
2013-04-03,104357904.68599992
2013-04-08,104357904.68599992
2013-04-09,104357904.68599992
2013-04-10,104357904.68599992
2013-04-11,104357904.68599992
2013-04-12,104357904.68599992
2013-04-15,104357904.68599992
2013-04-16,104357904.68599992
2013-04-17,104357904.68599992
2013-04-18,104357904.68599992
2013-04-19,104357904.68599992
2013-04-22,104357904.68599992
2013-04-23,104357904.68599992
2013-04-24,104357904.68599992
2013-04-25,104357904.68599992
2013-04-26,104357904.68599992
2013-05-02,104357904.68599992
2013-05-03,104357904.68599992
2013-05-06,104357904.68599992
2013-05-07,104357904.68599992
2013-05-08,104357904.68599992
2013-05-09,104357904.68599992
2013-05-10,104357904.68599992
2013-05-13,104357904.68599992
2013-05-14,104357904.68599992
2013-05-15,104357904.68599992
2013-05-16,104357904.68599992
2013-05-17,104357904.68599992
2013-05-20,104357904.68599992
2013-05-21,104357904.68599992
2013-05-22,104357904.68599992
2013-05-23,104357904.68599992
2013-05-24,104357904.68599992
2013-05-27,104357904.68599992
2013-05-28,104357904.68599992
2013-05-29,104357904.68599992
2013-05-30,104357904.68599992
2013-05-31,104357904.68599992
2013-06-03,104357904.68599992
2013-06-04,104153658.81499992
2013-06-05,102788591.81499992
2013-06-06,102696670.81499992
2013-06-07,101714190.81499992
2013-06-13,100040410.81499992
2013-06-14,96970757.81499992
2013-06-17,97713047.81499992
2013-06-18,97303881.81499992
2013-06-19,97737309.81499992
2013-06-20,97365274.81499992
2013-06-21,94681041.81499992
2013-06-24,94663713.81499992
2013-06-25,89888280.81499992
2013-06-26,89715908.81499992
2013-06-27,90319617.81499992
2013-06-28,89860775.81499992
2013-07-01,90879180.81499992
2013-07-02,90531709.55299994
2013-07-03,90531709.55299994
2013-07-04,90531709.55299994
2013-07-05,90531709.55299994
2013-07-08,90531709.55299994
2013-07-09,90531709.55299994
2013-07-10,90531709.55299994
2013-07-11,90531709.55299994
2013-07-12,90531709.55299994
2013-07-15,90531709.55299994
2013-07-16,90531709.55299994
2013-07-17,90531709.55299994
2013-07-18,90531709.55299994
2013-07-19,90531709.55299994
2013-07-22,90531709.55299994
2013-07-23,90531709.55299994
2013-07-24,90531709.55299994
2013-07-25,90531709.55299994
2013-07-26,90531709.55299994
2013-07-29,90531709.55299994
2013-07-30,90531709.55299994
2013-07-31,90531709.55299994
2013-08-01,90531709.55299994
2013-08-02,92185561.58099994
2013-08-05,92239721.58099993
2013-08-06,94310520.58099993
2013-08-07,95441465.58099993
2013-08-08,94742697.58099993
2013-08-09,95060493.58099993
2013-08-12,95640449.58099994
2013-08-13,97861944.58099993
2013-08-14,97883882.58099993
2013-08-15,97443925.58099993
2013-08-16,95908139.58099993
2013-08-19,94463829.58099993
2013-08-20,95959472.58099993
2013-08-21,95016291.58099993
2013-08-22,95009798.58099993
2013-08-23,94792626.58099993
2013-08-26,94100811.58099993
2013-08-27,95907214.58099993
2013-08-28,96624883.58099993
2013-08-29,96103267.58099993
2013-08-30,95366045.58099993
2013-09-02,94623817.58099993
2013-09-03,94494986.24299996
2013-09-04,94494986.24299996
2013-09-05,94494986.24299996
2013-09-06,94494986.24299996
2013-09-09,94494986.24299996
2013-09-10,94494986.24299996
2013-09-11,94494986.24299996
2013-09-12,94494986.24299996
2013-09-13,94494986.24299996
2013-09-16,94494986.24299996
2013-09-17,94494986.24299996
2013-09-18,94494986.24299996
2013-09-23,94494986.24299996
2013-09-24,94494986.24299996
2013-09-25,94494986.24299996
2013-09-26,94494986.24299996
2013-09-27,94494986.24299996
2013-09-30,94494986.24299996
2013-10-08,94494986.24299996
2013-10-09,95666407.77999994
2013-10-10,96096119.77999994
2013-10-11,95220028.77999994
2013-10-14,96793770.77999994
2013-10-15,97627352.77999994
2013-10-16,97958520.77999996
2013-10-17,95562858.77999996
2013-10-18,95597128.77999997
2013-10-21,95760837.77999997
2013-10-22,97842911.77999997
2013-10-23,97014047.77999997
2013-10-24,95249350.77999997
2013-10-25,94629418.77999997
2013-10-28,92852153.77999997
2013-10-29,92674952.77999997
2013-10-30,91860907.77999997
2013-10-31,93123966.77999997
2013-11-01,91956410.77999997
2013-11-04,92208198.01599994
2013-11-05,92110684.01599994
2013-11-06,92389951.01599996
2013-11-07,91521883.01599996
2013-11-08,90821769.01599996
2013-11-11,89340282.01599996
2013-11-12,89877046.01599996
2013-11-13,90689309.01599996
2013-11-14,88934139.01599996
2013-11-15,89668282.01599994
2013-11-18,91527753.01599994
2013-11-19,93909201.01599994
2013-11-20,93313474.01599994
2013-11-21,93639355.01599994
2013-11-22,93534145.01599994
2013-11-25,93227030.01599994
2013-11-26,92669690.01599994
2013-11-27,92758886.01599994
2013-11-28,94190750.01599994
2013-11-29,94968045.01599996
2013-12-02,94921495.01599996
2013-12-03,94439851.53999993
2013-12-04,94439851.53999993
2013-12-05,94439851.53999993
2013-12-06,94439851.53999993
2013-12-09,94439851.53999993
2013-12-10,94439851.53999993
2013-12-11,94439851.53999993
2013-12-12,94439851.53999993
2013-12-13,94439851.53999993
2013-12-16,94439851.53999993
2013-12-17,94439851.53999993
2013-12-18,94439851.53999993
2013-12-19,94439851.53999993
2013-12-20,94439851.53999993
2013-12-23,94439851.53999993
2013-12-24,94439851.53999993
2013-12-25,94439851.53999993
2013-12-26,94439851.53999993
2013-12-27,94439851.53999993
2013-12-30,94439851.53999993
2013-12-31,94439851.53999993
2014-01-02,94439851.53999993
2014-01-03,94336883.33699994
2014-01-06,93321524.33699994
2014-01-07,90817171.33699994
2014-01-08,91023823.33699994
2014-01-09,91021236.33699994
2014-01-10,90227696.33699994
2014-01-13,89007324.33699994
2014-01-14,88553607.33699994
2014-01-15,89864766.33699994
2014-01-16,89916925.33699992
2014-01-17,89889401.33699992
2014-01-20,88372928.33699992
2014-01-21,87912334.33699992
2014-01-22,88988749.33699992
2014-01-23,90990701.33699992
2014-01-24,90780706.33699992
2014-01-27,91621609.33699992
2014-01-28,90473622.33699992
2014-01-29,90431920.33699992
2014-01-30,90553294.33699991
2014-02-07,89335585.33699991
2014-02-10,88752658.46399993
2014-02-11,88752658.46399993
2014-02-12,88752658.46399993
2014-02-13,88752658.46399993
2014-02-14,88752658.46399993
2014-02-17,88752658.46399993
2014-02-18,88752658.46399993
2014-02-19,88752658.46399993
2014-02-20,88752658.46399993
2014-02-21,88752658.46399993
2014-02-24,88752658.46399993
2014-02-25,88752658.46399993
2014-02-26,88752658.46399993
2014-02-27,88752658.46399993
2014-02-28,88752658.46399993
2014-03-03,88752658.46399993
2014-03-04,89805001.83199994
2014-03-05,89238168.83199994
2014-03-06,88349438.83199994
2014-03-07,88492630.83199994
2014-03-10,88024445.83199994
2014-03-11,85076615.83199996
2014-03-12,85522531.83199996
2014-03-13,85537885.83199996
2014-03-14,86644596.83199996
2014-03-17,86134156.83199996
2014-03-18,87070795.83199994
2014-03-19,87559757.83199994
2014-03-20,86948362.83199994
2014-03-21,85235282.83199994
2014-03-24,87623671.83199993
2014-03-25,88141864.83199993
2014-03-26,88407692.83199993
2014-03-27,88467429.83199993
2014-03-28,87557120.83199993
2014-03-31,86809846.83199993
2014-04-01,86097709.83199993
2014-04-02,86941174.92299993
2014-04-03,87379017.92299992
2014-04-04,87092348.92299992
2014-04-08,88026392.92299992
2014-04-09,89746937.92299992
2014-04-10,90052997.92299992
2014-04-11,91152541.92299992
2014-04-14,91093906.92299992
2014-04-15,91183888.92299993
2014-04-16,89824999.92299993
2014-04-17,89900879.92299995
2014-04-18,89617937.92299995
2014-04-21,89527230.92299995
2014-04-22,87996640.92299995
2014-04-23,87705506.92299995
2014-04-24,87606836.92299995
2014-04-25,87291088.92299995
2014-04-28,85896321.92299995
2014-04-29,84225689.92299995
2014-04-30,85382351.92299995
2014-05-05,85394059.92299993
2014-05-06,85820936.71399994
2014-05-07,86103274.71399994
2014-05-08,85145432.71399994
2014-05-09,85467072.71399994
2014-05-12,85379974.71399994
2014-05-13,87600064.71399994
2014-05-14,87290473.71399994
2014-05-15,87024060.71399994
2014-05-16,85413077.71399994
2014-05-19,85459632.71399994
2014-05-20,84389124.71399994
2014-05-21,84361733.71399994
2014-05-22,85257808.71399994
2014-05-23,84935677.71399994
2014-05-26,85536718.71399994
2014-05-27,86022086.71399993
2014-05-28,85432661.71399993
2014-05-29,86346649.71399991
2014-05-30,85443996.71399991
2014-06-03,85778004.71399991
2014-06-04,85807380.19299993
2014-06-05,85807380.19299993
2014-06-06,85807380.19299993
2014-06-09,85807380.19299993
2014-06-10,85807380.19299993
2014-06-11,85807380.19299993
2014-06-12,85807380.19299993
2014-06-13,85807380.19299993
2014-06-16,85807380.19299993
2014-06-17,85807380.19299993
2014-06-18,85807380.19299993
2014-06-19,85807380.19299993
2014-06-20,85807380.19299993
2014-06-23,85807380.19299993
2014-06-24,85807380.19299993
2014-06-25,85807380.19299993
2014-06-26,85807380.19299993
2014-06-27,85807380.19299993
2014-06-30,85807380.19299993
2014-07-01,85807380.19299993
2014-07-02,85703166.39399995
2014-07-03,85957257.39399995
2014-07-04,86260835.39399995
2014-07-07,86107312.39399995
2014-07-08,85761733.39399995
2014-07-09,85935406.39399995
2014-07-10,84682736.39399995
2014-07-11,84468728.39399995
2014-07-14,84953977.39399996
2014-07-15,85716604.39399996
2014-07-16,86094768.39399995
2014-07-17,85985287.39399995
2014-07-18,85389270.39399995
2014-07-21,85791928.39399995
2014-07-22,86027923.39399996
2014-07-23,86850413.39399996
2014-07-24,86579710.39399996
2014-07-25,87743134.39399996
2014-07-28,88528979.39399996
2014-07-29,90880652.39399995
2014-07-30,91273506.39399995
