,value
2012-01-04,100000000.0
2012-01-05,100000000.0
2012-01-06,100000000.0
2012-01-09,100000000.0
2012-01-10,100000000.0
2012-01-11,100000000.0
2012-01-12,100000000.0
2012-01-13,100000000.0
2012-01-16,100000000.0
2012-01-17,100000000.0
2012-01-18,100000000.0
2012-01-19,100000000.0
2012-01-20,100000000.0
2012-01-30,100000000.0
2012-01-31,100000000.0
2012-02-01,100000000.0
2012-02-02,98724467.98599997
2012-02-03,100871687.98599996
2012-02-06,101830594.98599994
2012-02-07,102301863.98599994
2012-02-08,100496434.98599994
2012-02-09,103475964.98599993
2012-02-10,104054380.98599994
2012-02-13,104266309.98599994
2012-02-14,104571389.98599994
2012-02-15,104407609.98599994
2012-02-16,105968274.98599994
2012-02-17,105525583.98599994
2012-02-20,105370231.98599994
2012-02-21,105430567.98599994
2012-02-22,106416097.98599994
2012-02-23,108224508.98599994
2012-02-24,108652598.98599994
2012-02-27,110382721.98599994
2012-02-28,110431821.98599994
2012-02-29,110321169.98599994
2012-03-01,109221411.98599994
2012-03-02,109118640.747
2012-03-05,110954025.74699998
2012-03-06,110450043.74699998
2012-03-07,108717350.74699998
2012-03-08,108039823.74699998
2012-03-09,109429490.74699998
2012-03-12,110882144.74699998
2012-03-13,111210729.74699998
2012-03-14,112256724.74699998
2012-03-15,108929804.74699998
2012-03-16,108081995.74699998
2012-03-19,109970301.747
2012-03-20,110548425.747
2012-03-21,108491427.747
2012-03-22,108531598.74700001
2012-03-23,108132210.74700001
2012-03-26,106377658.74700001
2012-03-27,106584097.74700001
2012-03-28,106128353.74700001
2012-03-29,103292849.74700001
2012-03-30,101661709.74700001
2012-04-05,101577390.74700001
2012-04-06,101275939.915
2012-04-09,101275939.915
2012-04-10,101275939.915
2012-04-11,101275939.915
2012-04-12,101275939.915
2012-04-13,101275939.915
2012-04-16,101275939.915
2012-04-17,101275939.915
2012-04-18,101275939.915
2012-04-19,101275939.915
2012-04-20,101275939.915
2012-04-23,101275939.915
2012-04-24,101275939.915
2012-04-25,101275939.915
2012-04-26,101275939.915
2012-04-27,101275939.915
2012-05-02,101275939.915
2012-05-03,101275939.915
2012-05-04,101275939.915
2012-05-07,101275939.915
2012-05-08,101275939.915
2012-05-09,101275939.915
2012-05-10,101275939.915
2012-05-11,101275939.915
2012-05-14,101275939.915
2012-05-15,101275939.915
2012-05-16,101275939.915
2012-05-17,101275939.915
2012-05-18,101275939.915
2012-05-21,101275939.915
2012-05-22,101275939.915
2012-05-23,101275939.915
2012-05-24,101275939.915
2012-05-25,101275939.915
2012-05-28,101275939.915
2012-05-29,101275939.915
2012-05-30,101275939.915
