,value
2012-01-04,100000000.0
2012-01-05,100000000.0
2012-01-06,100000000.0
2012-01-09,100000000.0
2012-01-10,100000000.0
2012-01-11,100000000.0
2012-01-12,100000000.0
2012-01-13,100000000.0
2012-01-16,100000000.0
2012-01-17,100000000.0
2012-01-18,100000000.0
2012-01-19,100000000.0
2012-01-20,100000000.0
2012-01-30,100000000.0
2012-01-31,100000000.0
2012-02-01,100000000.0
2012-02-02,98813098.13300002
2012-02-03,100709856.13300002
2012-02-06,101645128.13300003
2012-02-07,101661939.13300003
2012-02-08,99898982.13300003
2012-02-09,103112927.13300002
2012-02-10,103170790.13300002
2012-02-13,103224099.13300003
2012-02-14,103640873.13300005
2012-02-15,103357640.13300005
2012-02-16,104703566.13300005
2012-02-17,104148850.13300005
2012-02-20,104180824.13300005
2012-02-21,104562576.13300005
2012-02-22,105461230.13300003
2012-02-23,107098315.13300003
2012-02-24,107408410.13300003
2012-02-27,108552144.13300002
2012-02-28,109427603.13300003
2012-02-29,109595819.13300005
2012-03-01,108918445.13300005
2012-03-02,108512307.61200005
2012-03-05,110421796.61200005
2012-03-06,109793797.61200005
2012-03-07,107963542.61200005
2012-03-08,107653984.61200005
2012-03-09,108722298.61200005
2012-03-12,109844879.61200003
2012-03-13,109908330.61200003
2012-03-14,110753299.61200005
2012-03-15,107234095.61200005
2012-03-16,106026358.61200005
2012-03-19,107753537.61200005
2012-03-20,108520315.61200003
2012-03-21,106449903.61200003
2012-03-22,106950613.61200003
2012-03-23,106372535.61200003
2012-03-26,104845784.61200003
2012-03-27,104438928.61200003
2012-03-28,104536871.61200003
2012-03-29,100960840.61200003
2012-03-30,99508480.61200003
2012-04-05,100171684.61200003
2012-04-06,100043238.87600005
2012-04-09,100043238.87600005
2012-04-10,100043238.87600005
2012-04-11,100043238.87600005
2012-04-12,100043238.87600005
2012-04-13,100043238.87600005
2012-04-16,100043238.87600005
2012-04-17,100043238.87600005
2012-04-18,100043238.87600005
2012-04-19,100043238.87600005
2012-04-20,100043238.87600005
2012-04-23,100043238.87600005
2012-04-24,100043238.87600005
2012-04-25,100043238.87600005
2012-04-26,100043238.87600005
2012-04-27,100043238.87600005
2012-05-02,100043238.87600005
2012-05-03,100043238.87600005
2012-05-04,100043238.87600005
2012-05-07,100043238.87600005
2012-05-08,100043238.87600005
2012-05-09,100043238.87600005
2012-05-10,100043238.87600005
2012-05-11,100043238.87600005
2012-05-14,100043238.87600005
2012-05-15,100043238.87600005
2012-05-16,100043238.87600005
2012-05-17,100043238.87600005
2012-05-18,100043238.87600005
2012-05-21,100043238.87600005
2012-05-22,100043238.87600005
2012-05-23,100043238.87600005
