,value
2012-01-04,100000000.0
2012-01-05,100000000.0
2012-01-06,100000000.0
2012-01-09,100000000.0
2012-01-10,100000000.0
2012-01-11,100000000.0
2012-01-12,100000000.0
2012-01-13,100000000.0
2012-01-16,100000000.0
2012-01-17,100000000.0
2012-01-18,100000000.0
2012-01-19,100000000.0
2012-01-20,100000000.0
2012-01-30,100000000.0
2012-01-31,100000000.0
2012-02-01,100000000.0
2012-02-02,98738316.50499998
2012-02-03,100865685.50499998
2012-02-06,102174817.50499998
2012-02-07,102446495.50499998
2012-02-08,100673628.50499998
2012-02-09,103714752.50499998
2012-02-10,104028814.50499998
2012-02-13,104163443.50499998
2012-02-14,104705388.50499998
2012-02-15,104629977.50499998
2012-02-16,105981267.50499998
2012-02-17,105371837.50499998
2012-02-20,105167909.50499998
2012-02-21,105184177.50499998
2012-02-22,105925664.50499998
2012-02-23,107448405.50499997
2012-02-24,107950989.50499997
2012-02-27,109682613.50499997
2012-02-28,110059179.50499995
2012-02-29,109998122.50499995
2012-03-01,108774751.50499995
2012-03-02,108833451.13699996
2012-03-05,110671819.13699995
2012-03-06,110373186.13699995
2012-03-07,108474917.13699995
2012-03-08,107468977.13699995
2012-03-09,108778432.13699996
2012-03-12,110642707.13699998
2012-03-13,110850403.13699996
2012-03-14,111950170.13699996
2012-03-15,108030465.13699996
2012-03-16,106783676.13699996
2012-03-19,108696505.13699996
2012-03-20,109651361.13699996
2012-03-21,107437990.13699996
2012-03-22,107627330.13699996
2012-03-23,107161636.13699996
2012-03-26,105611325.13699996
2012-03-27,105712169.13699995
2012-03-28,105030895.13699995
2012-03-29,101193092.13699995
2012-03-30,99186578.13699995
2012-04-05,98840970.13699995
2012-04-06,98682963.14699997
2012-04-09,98682963.14699997
2012-04-10,98682963.14699997
2012-04-11,98682963.14699997
2012-04-12,98682963.14699997
2012-04-13,98682963.14699997
2012-04-16,98682963.14699997
2012-04-17,98682963.14699997
2012-04-18,98682963.14699997
2012-04-19,98682963.14699997
2012-04-20,98682963.14699997
2012-04-23,98682963.14699997
2012-04-24,98682963.14699997
2012-04-25,98682963.14699997
2012-04-26,98682963.14699997
2012-04-27,98682963.14699997
2012-05-02,98682963.14699997
2012-05-03,98682963.14699997
2012-05-04,98682963.14699997
2012-05-07,98682963.14699997
2012-05-08,98682963.14699997
2012-05-09,98682963.14699997
2012-05-10,98682963.14699997
2012-05-11,98682963.14699997
2012-05-14,98682963.14699997
2012-05-15,98682963.14699997
2012-05-16,98682963.14699997
2012-05-17,98682963.14699997
2012-05-18,98682963.14699997
2012-05-21,98682963.14699997
2012-05-22,98682963.14699997
2012-05-23,98682963.14699997
