,value
2012-01-04,100000000.0
2012-01-05,100000000.0
2012-01-06,100000000.0
2012-01-09,100000000.0
2012-01-10,100000000.0
2012-01-11,100000000.0
2012-01-12,100000000.0
2012-01-13,100000000.0
2012-01-16,100000000.0
2012-01-17,100000000.0
2012-01-18,100000000.0
2012-01-19,100000000.0
2012-01-20,100000000.0
2012-01-30,100000000.0
2012-01-31,100000000.0
2012-02-01,100000000.0
2012-02-02,98807839.51499999
2012-02-03,100601053.515
2012-02-06,102104572.515
2012-02-07,102642229.51500002
2012-02-08,100678417.51500002
2012-02-09,103428164.51500002
2012-02-10,103896070.51500003
2012-02-13,104031310.51500003
2012-02-14,104512161.51500003
2012-02-15,104517328.51500003
2012-02-16,105782840.51500003
2012-02-17,105296868.51500003
2012-02-20,105080211.51500003
2012-02-21,105329014.51500002
2012-02-22,106694712.51500002
2012-02-23,108510392.515
2012-02-24,108960755.515
2012-02-27,110671999.515
2012-02-28,111011168.515
2012-02-29,110913404.515
2012-03-01,109735952.515
2012-03-02,109679909.53899999
2012-03-05,111444045.539
2012-03-06,110900743.539
2012-03-07,109757498.539
2012-03-08,109141666.539
2012-03-09,110244164.539
2012-03-12,111714884.53899999
2012-03-13,111660338.53899999
2012-03-14,112682627.53899999
2012-03-15,108874604.53899999
2012-03-16,107913865.53899999
2012-03-19,109639584.53899999
2012-03-20,110190988.539
2012-03-21,108181991.539
2012-03-22,108387260.53900002
2012-03-23,108348598.53900002
2012-03-26,106706200.53900002
2012-03-27,106400411.53900002
2012-03-28,106098275.53900002
2012-03-29,102586977.53900002
2012-03-30,101188282.53900002
2012-04-05,101235786.539
2012-04-06,101024930.74700001
2012-04-09,101024930.74700001
2012-04-10,101024930.74700001
2012-04-11,101024930.74700001
2012-04-12,101024930.74700001
2012-04-13,101024930.74700001
2012-04-16,101024930.74700001
2012-04-17,101024930.74700001
2012-04-18,101024930.74700001
2012-04-19,101024930.74700001
2012-04-20,101024930.74700001
2012-04-23,101024930.74700001
2012-04-24,101024930.74700001
2012-04-25,101024930.74700001
2012-04-26,101024930.74700001
2012-04-27,101024930.74700001
2012-05-02,101024930.74700001
2012-05-03,101024930.74700001
2012-05-04,101024930.74700001
2012-05-07,101024930.74700001
2012-05-08,101024930.74700001
2012-05-09,101024930.74700001
2012-05-10,101024930.74700001
2012-05-11,101024930.74700001
2012-05-14,101024930.74700001
2012-05-15,101024930.74700001
2012-05-16,101024930.74700001
2012-05-17,101024930.74700001
2012-05-18,101024930.74700001
2012-05-21,101024930.74700001
2012-05-22,101024930.74700001
2012-05-23,101024930.74700001
2012-05-24,101024930.74700001
2012-05-25,101024930.74700001
