,value
2012-01-04,100000000.0
2012-01-05,100000000.0
2012-01-06,100000000.0
2012-01-09,100000000.0
2012-01-10,100000000.0
2012-01-11,100000000.0
2012-01-12,100000000.0
2012-01-13,100000000.0
2012-01-16,100000000.0
2012-01-17,100000000.0
2012-01-18,100000000.0
2012-01-19,100000000.0
2012-01-20,100000000.0
2012-01-30,100000000.0
2012-01-31,100000000.0
2012-02-01,100000000.0
2012-02-02,98947556.30299997
2012-02-03,100819790.30299996
2012-02-06,101990505.30299997
2012-02-07,102444834.30299996
2012-02-08,100696919.30299996
2012-02-09,103684009.30299996
2012-02-10,103986250.30299996
2012-02-13,104715249.30299996
2012-02-14,105426684.30299996
2012-02-15,105252795.30299996
2012-02-16,106618421.30299994
2012-02-17,106159181.30299994
2012-02-20,106204626.30299994
2012-02-21,106055837.30299994
2012-02-22,107131994.30299996
2012-02-23,109429102.30299996
2012-02-24,110070005.30299996
2012-02-27,111515307.30299996
2012-02-28,111871085.30299997
2012-02-29,111490866.30299997
2012-03-01,110014959.30299997
2012-03-02,109953510.38099998
2012-03-05,112008728.38099998
2012-03-06,111799196.38099998
2012-03-07,110152567.38099998
2012-03-08,109443780.38099998
2012-03-09,111124585.38099998
2012-03-12,112738245.38099998
2012-03-13,113033272.38099998
2012-03-14,114090674.38099998
2012-03-15,110101220.38099998
2012-03-16,109379886.38099998
2012-03-19,111224645.38099998
2012-03-20,112004402.38099997
2012-03-21,109471206.38099997
2012-03-22,109749634.38099997
2012-03-23,109438317.38099997
2012-03-26,107530455.38099997
2012-03-27,107263274.38099997
2012-03-28,106950423.38099997
2012-03-29,103157995.38099997
2012-03-30,101234875.38099997
2012-04-05,101297826.38099998
2012-04-06,101077727.33899996
2012-04-09,101077727.33899996
2012-04-10,101077727.33899996
2012-04-11,101077727.33899996
2012-04-12,101077727.33899996
2012-04-13,101077727.33899996
2012-04-16,101077727.33899996
2012-04-17,101077727.33899996
2012-04-18,101077727.33899996
2012-04-19,101077727.33899996
2012-04-20,101077727.33899996
2012-04-23,101077727.33899996
2012-04-24,101077727.33899996
2012-04-25,101077727.33899996
2012-04-26,101077727.33899996
2012-04-27,101077727.33899996
2012-05-02,101077727.33899996
2012-05-03,101077727.33899996
2012-05-04,101077727.33899996
2012-05-07,101077727.33899996
2012-05-08,101077727.33899996
2012-05-09,101077727.33899996
2012-05-10,101077727.33899996
2012-05-11,101077727.33899996
2012-05-14,101077727.33899996
2012-05-15,101077727.33899996
2012-05-16,101077727.33899996
2012-05-17,101077727.33899996
2012-05-18,101077727.33899996
2012-05-21,101077727.33899996
2012-05-22,101077727.33899996
2012-05-23,101077727.33899996
