,value
2012-01-04,100000000.0
2012-01-05,100000000.0
2012-01-06,100000000.0
2012-01-09,100000000.0
2012-01-10,100000000.0
2012-01-11,100000000.0
2012-01-12,100000000.0
2012-01-13,100000000.0
2012-01-16,100000000.0
2012-01-17,100000000.0
2012-01-18,100000000.0
2012-01-19,100000000.0
2012-01-20,100000000.0
2012-01-30,100000000.0
2012-01-31,100000000.0
2012-02-01,100000000.0
2012-02-02,98674762.043
2012-02-03,100703842.04300001
2012-02-06,101734912.04300001
2012-02-07,102019148.04300001
2012-02-08,100069510.04300001
2012-02-09,102890737.04300001
2012-02-10,103018965.04300001
2012-02-13,103246266.04300001
2012-02-14,103901355.043
2012-02-15,103945777.043
2012-02-16,105445134.04300001
2012-02-17,105119995.04300001
2012-02-20,104732763.04300001
2012-02-21,104757241.04300001
2012-02-22,106016988.04300001
2012-02-23,107792395.04300001
2012-02-24,108159791.04300001
2012-02-27,109901569.04300001
2012-02-28,110246506.04300001
2012-02-29,109632847.04300001
2012-03-01,108579878.04300001
2012-03-02,108684330.69300005
2012-03-05,110467487.69300005
2012-03-06,109843403.69300005
2012-03-07,108450788.69300005
2012-03-08,107747337.69300005
2012-03-09,109384803.69300005
2012-03-12,110573024.69300005
2012-03-13,111070919.69300003
2012-03-14,111968258.69300003
2012-03-15,108321769.69300003
2012-03-16,107520242.69300003
2012-03-19,109465383.69300003
2012-03-20,109905521.69300002
2012-03-21,107760319.69300002
2012-03-22,108160563.69300002
2012-03-23,107659650.69300002
2012-03-26,105949405.69300002
2012-03-27,106129866.693
2012-03-28,106427552.693
2012-03-29,103078212.693
2012-03-30,101535695.693
2012-04-05,101289343.693
2012-04-06,101066234.666
2012-04-09,101066234.666
2012-04-10,101066234.666
2012-04-11,101066234.666
2012-04-12,101066234.666
2012-04-13,101066234.666
2012-04-16,101066234.666
2012-04-17,101066234.666
2012-04-18,101066234.666
2012-04-19,101066234.666
2012-04-20,101066234.666
2012-04-23,101066234.666
2012-04-24,101066234.666
2012-04-25,101066234.666
2012-04-26,101066234.666
2012-04-27,101066234.666
2012-05-02,101066234.666
2012-05-03,101066234.666
2012-05-04,101066234.666
2012-05-07,101066234.666
2012-05-08,101066234.666
2012-05-09,101066234.666
2012-05-10,101066234.666
2012-05-11,101066234.666
2012-05-14,101066234.666
2012-05-15,101066234.666
2012-05-16,101066234.666
2012-05-17,101066234.666
2012-05-18,101066234.666
2012-05-21,101066234.666
2012-05-22,101066234.666
2012-05-23,101066234.666
2012-05-24,101066234.666
2012-05-25,101066234.666
2012-05-28,101066234.666
2012-05-29,101066234.666
2012-05-30,101066234.666
2012-05-31,101066234.666
