datetime,ret
2012-01-04,1.0
2012-01-05,1.0
2012-01-06,1.0
2012-01-09,1.0
2012-01-10,1.0
2012-01-11,1.0
2012-01-12,1.0
2012-01-13,1.0
2012-01-16,1.0
2012-01-17,1.0
2012-01-18,1.0
2012-01-19,1.0
2012-01-20,1.0
2012-01-30,1.0
2012-01-31,1.0
2012-02-01,1.0
2012-02-02,0.9897328363500002
2012-02-03,1.0100262663500001
2012-02-06,1.0192478063500001
2012-02-07,1.02117613635
2012-02-08,1.00381991635
2012-02-09,1.0303339563499998
2012-02-10,1.0329439963499998
2012-02-13,1.0355953863499998
2012-02-14,1.03955853635
2012-02-15,1.03557193635
2012-02-16,1.04746587635
2012-02-17,1.0401513763499999
2012-02-20,1.03879728635
2012-02-21,1.03874360635
2012-02-22,1.0498236563499999
2012-02-23,1.0657090263499998
2012-02-24,1.0717750863499997
2012-02-27,1.0851155763499998
2012-02-28,1.0920869563499997
2012-02-29,1.0932514463499996
2012-03-01,1.0788884863499997
2012-03-02,1.0798432621799998
2012-03-05,1.0972120321799999
2012-03-06,1.09416409218
2012-03-07,1.07667008218
2012-03-08,1.07083321218
2012-03-09,1.0832752521799998
2012-03-12,1.0959537821799998
2012-03-13,1.0991322421799996
2012-03-14,1.1088760121799996
2012-03-15,1.0739675721799995
2012-03-16,1.0613046521799996
2012-03-19,1.0790367421799996
2012-03-20,1.0869614921799995
2012-03-21,1.0659033621799996
2012-03-22,1.0713133521799996
2012-03-23,1.0660510121799995
2012-03-26,1.0509818121799996
2012-03-27,1.0511259621799998
2012-03-28,1.0476954921799997
2012-03-29,1.0083831321799996
2012-03-30,0.9878620821799996
2012-04-05,0.9860853521799996
2012-04-06,1.0167356471099998
2012-04-09,1.0225237671099998
2012-04-10,1.01490864711
2012-04-11,1.02550049711
2012-04-12,1.0264099671099998
2012-04-13,1.0438828471099997
2012-04-16,1.0489248971099996
2012-04-17,1.0478590271099997
2012-04-18,1.0348252271099996
2012-04-19,1.0592480371099997
2012-04-20,1.0595096071099996
2012-04-23,1.0728666971099996
2012-04-24,1.0637670971099997
2012-04-25,1.0602701271099997
2012-04-26,1.0700646671099996
2012-04-27,1.0689928771099997
2012-05-02,1.0629434571099996
2012-05-03,1.0857369632399998
2012-05-04,1.0947786932399997
2012-05-07,1.1053666632399997
2012-05-08,1.1148109832399997
2012-05-09,1.1162169832399997
2012-05-10,1.0934851032399997
2012-05-11,1.0940218432399995
2012-05-14,1.0843027232399995
2012-05-15,1.0776263832399995
2012-05-16,1.0739957932399995
2012-05-17,1.0585079532399995
2012-05-18,1.0696643132399994
2012-05-21,1.0531005432399994
2012-05-22,1.0588242532399994
2012-05-23,1.0731627732399993
2012-05-24,1.0684751232399994
2012-05-25,1.0630706432399994
2012-05-28,1.0564106932399995
2012-05-29,1.0791431632399995
2012-05-30,1.0962139532399993
2012-05-31,1.0932851332399993
2012-06-01,1.0921316932399994
2012-06-04,1.0921841794599991
2012-06-05,1.0595549794599992
2012-06-06,1.0579020194599993
2012-06-07,1.0576448494599993
2012-06-08,1.0493672594599992
2012-06-11,1.0455552994599993
2012-06-12,1.0627004494599992
2012-06-13,1.0546918394599991
2012-06-14,1.074485169459999
2012-06-15,1.061971079459999
2012-06-18,1.061402339459999
2012-06-19,1.0696372994599987
2012-06-20,1.0594666694599988
2012-06-21,1.0546880594599988
2012-06-25,1.0356204494599988
2012-06-26,1.0070461494599987
2012-06-27,1.0078585794599986
2012-06-28,1.0014294894599987
2012-06-29,0.9923250794599986
2012-07-02,1.0056003594599985
2012-07-03,1.0064491851899982
2012-07-04,1.004948055189998
2012-07-05,1.008618385189998
2012-07-06,0.989830585189998
2012-07-09,1.0073707051899978
2012-07-10,0.9843411651899979
2012-07-11,0.9807103751899979
2012-07-12,0.994347005189998
2012-07-13,1.0089140751899979
2012-07-16,1.0038439051899979
2012-07-17,0.9832294251899979
2012-07-18,0.9881343451899978
2012-07-19,0.9915899151899978
2012-07-20,0.9977689451899979
2012-07-23,0.990618285189998
2012-07-24,0.981043175189998
2012-07-25,0.985868765189998
2012-07-26,0.978025965189998
2012-07-27,0.9737292451899979
2012-07-30,0.972184035189998
2012-07-31,0.965348295189998
2012-08-01,0.950860055189998
2012-08-02,0.9608845103299979
2012-08-03,0.9542076003299979
2012-08-06,0.9635347503299977
2012-08-07,0.9773881803299977
2012-08-08,0.9800835003299977
2012-08-09,0.9781470903299977
2012-08-10,0.9885027303299977
2012-08-13,0.9864921203299978
2012-08-14,0.9680813903299978
2012-08-15,0.9748238203299978
2012-08-16,0.9660434303299978
2012-08-17,0.9621689003299978
2012-08-20,0.9566848403299978
2012-08-21,0.9514858303299978
2012-08-22,0.9591070503299977
2012-08-23,0.9489243003299976
2012-08-24,0.9508933603299976
2012-08-27,0.9367586203299976
2012-08-28,0.9178619103299976
2012-08-29,0.9205645603299976
2012-08-30,0.9115769203299976
2012-08-31,0.9059150903299976
2012-09-03,0.9066753203299975
2012-09-04,0.9159231717999976
2012-09-05,0.9041746717999976
2012-09-06,0.9060441417999976
2012-09-07,0.9145352617999977
2012-09-10,0.9562639217999975
2012-09-11,0.9637570717999975
2012-09-12,0.9608441317999974
2012-09-13,0.9638120117999973
2012-09-14,0.9572338617999973
2012-09-17,0.9599874717999973
2012-09-18,0.9340367717999974
2012-09-19,0.9247737617999975
2012-09-20,0.9319304817999976
2012-09-21,0.9123292717999977
2012-09-24,0.9095868517999977
2012-09-25,0.9199270717999976
2012-09-26,0.9163883017999976
2012-09-27,0.9026370217999977
